"Region","Subregion","Stock","Name","EnglishName","ScientificName","SpecCode","Group","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Northeast Atlantic","Bay of Biscay and Iberian coast","sol-8c9a","Sole (Solea solea, S. senegalensis, and Pegusa lascaris) in ICES areas Divisions VIIIc and IXa (Cantabrian Sea, Atlantic Iberian Waters)","Sole spp","Solea spp",,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/sol-8c9a.pdf",2000,2014,2000,2014,,,,,,,,,,,,"Medium","NA","NA",0.01,0.4,"NA","NA","NA",0.01,0.4,"NA","NA","None","F","OK (RF 16.05.16)"
"Northeast Atlantic","Bay of Biscay and Iberian coast","sol-bisc","Sole in Divisions VIIIa,b (Bay of Biscay)","Common sole ","Solea solea",525,"Flatfish","www.ices.dk",1984,2014,1984,2014,0.58,0.42,,13000,,0.26,,13000,,,,"Medium",0.18,1.02,"NA","NA",2001,0.01,0.4,"NA","NA","NA","NA","CPUE","F","OK (RF 17.04.16)"
"Northeast Atlantic","Bay of Biscay and Iberian coast","whg-89a","Whiting in Subarea VIII and Division IXa (Bay of Biscay, Atlantic Iberian Waters)","Whiting","Merlangius merlangus",29,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/whg-89a.pdf",1994,2014,1994,2014,,,,,,,,,,,,"Medium",0.22,1.01,"NA","NA",2008,0.01,0.4,0.01,0.4,"NA","NA","None","F","OK (RF 16.05.16)"
"Mediterranean","Black Sea","BS_anch","Black Sea anchovy","European anchovy","Engraulis encrasicolus",66,"Small pelagic","http://stecf.jrc.ec.europa.eu/documents/43805/409649/2012-11_STECF+12-15+-+Black+Sea+Assessments_JRC76532.pdf",1995,2011,1995,2011,,,,,,0.54,,,,,,"Medium",0.32,1.35,0.5,0.9,"NA","NA","NA",0.01,0.4,"NA","NA","CPUE","F","SSB/Landings"
"Mediterranean","Black Sea","MHMackerel_BS","Mediterranean horse mackerel in Black Sea","Mediterranean horse mackerel","Trachurus mediterraneus",1278,"Others","https://stecf.jrc.ec.europa.eu/documents/43805/1208033/2015-10_STECF+15-16+-+Black+Sea+assessments_JRC98095.pdf",1950,2014,1950,2014,,,,,,,,,,,,"Medium",0.35,1.56,"NA","NA",1988,0.2,0.6,0.01,0.3,"NA","NA","CPUE","F","SSB/Landings"
"Mediterranean","Black Sea","PDogfish_BS","Picked dogfish in Black Sea","Picked dogfish","Squalus acanthias",139,"Elasmobranchs","https://stecf.jrc.ec.europa.eu/documents/43805/1208033/2015-10_STECF+15-16+-+Black+Sea+assessments_JRC98095.pdf",1989,2014,1989,2014,,,,,,,,,,,,"Low",0.0017,0.92,"NA","NA",2001,0.01,0.2,0.01,0.2,"NA","NA","CPUE","F","SSB/Landings"
"Mediterranean","Black Sea","RMullet_BS","Red mullet in Black Sea","Red mullet","Mullus barbatus barbatus",790,"Others","https://stecf.jrc.ec.europa.eu/documents/43805/1208033/2015-10_STECF+15-16+-+Black+Sea+assessments_JRC98095.pdf",1990,2014,1990,2014,,,,,,,,,,,,"Medium",0.56,1.31,"NA","NA","NA","NA","NA",0.01,0.2,"NA","NA","CPUE","F","SSB/Catch "
"Mediterranean","Black Sea","Spr_BS","Black Sea sprat","European sprat","Sprattus sprattus",1357,"Small pelagics","https://stecf.jrc.ec.europa.eu/documents/43805/1208033/2015-10_STECF+15-16+-+Black+Sea+assessments_JRC98095.pdf",1995,2014,1995,2014,,,,,,0.64,,,,,,"Medium",0.2,1.19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","Landings"
"Mediterranean","Black Sea","Tur_BS","Turbot in Black Sea","Turbot","Scophthalmus maximus",1348,"Flatfish","https://stecf.jrc.ec.europa.eu/documents/43805/1208033/2015-10_STECF+15-16+-+Black+Sea+assessments_JRC98095.pdf",1950,2014,1950,2014,,,,,,0.1,,,,,,"Medium",0.31,0.65,"NA","NA",1980,0.2,0.6,0.01,0.3,"NA","NA","CPUE","F","Landings+IUU"
"Mediterranean","Black Sea","Whiting_BS","Whiting in Black Sea","Whiting","Merlangius merlangus",29,"Large predators","https://stecf.jrc.ec.europa.eu/documents/43805/1208033/2015-10_STECF+15-16+-+Black+Sea+assessments_JRC98095.pdf",1994,2014,1994,2014,,,,,,,,,,,,"Medium",0.22,1.01,"NA","NA","NA","NA","NA",0.01,0.4,"NA","NA","CPUE","F","SSB/Landings"
"Northeast Atlantic","Celtic Seas","anb-78ab","Black-bellied anglerfish in Divisions VIIb–k and VIIIa,b,d (West and Southwest of Ireland, Bay of Biscay)","Black-bellied anglerfish","Lophius budegassa",5094,"Deep water","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/anb-78ab.pdf",1986,2014,1986,2014,,,,,,,,,,,,"Low",0.18,0.5,0.2,0.6,"NA","NA","NA",0.2,0.6,"NA","NA","CPUE","F","OK (RF 16.05.16)"
"Northeast Atlantic","Celtic Seas","bli-5b67","Blue ling in subareas 6–7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)","Blue ling","Molva dypterygia",1383,"Deep water","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bli-5b67.pdf",1966,2015,1966,2015,0.17,0.12,54000,75037,,0.12,,75000,,,,"Low",0.2,0.5,0.6,0.9,1995,0.01,0.4,0.2,0.6,2004,2007,"CPUE","F","OK (RF 09.06.16)"
"Northeast Atlantic","Celtic Seas","boc-nea","Boarfish in Subareas VI–VIII (Celtic Seas and the English Channel, Bay of Biscay)","Boarfish","Capros aper",54,"Others","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/boc-nea.pdf",2001,2014,2001,2014,,,,,,,,,,,,"Low","NA","NA",0.01,0.4,2008,0.01,0.4,0.01,0.4,"NA","NA","CPUE","F","OK (RF 17.04.16)"
"Northeast Atlantic","Celtic Seas","cod-7e-k","Cod in Divisions VIIe-k (Celtic Sea cod)","Atlantic cod","Gadus morhua",69,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2015/WGBIE/13%20WGBIE%20report%20-%20Sec%2011%20Norway%20lobster%20(Nephrops)%20in%20Division%20VIIIa,%20b,%20FUs%2023%E2%80%9324.pdf",1971,2014,1971,2014,,,7300,10300,,0.4,,10300,,,,"Medium",0.221,0.947,"NA","NA","NA","NA","NA",0.01,0.4,"NA","NA","CPUE","F","OK (RF 15.04.2016)"
"Northeast Atlantic","Celtic Seas","cod-scow","Cod in Division VIa (West of Scotland) ","Atlantic cod","Gadus morhua",69,"Large predators","www.ices.dk",1981,2014,1981,2014,,,,,,,,,,,,"Medium",0.221,0.947,"NA","NA","NA","NA","NA",0.01,0.3,"NA","NA","CPUE","F","OK (RF 17.04.16)"
"Northeast Atlantic","Celtic Seas","had-7b-k","Haddock in Divisions VIIb,c,e-k","Haddock ","Melanogrammus aeglefinus ",1381,"Large predators","http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/had-7b-k.pdf",1993,2014,1993,2014,,,,,,0.33,,7500,,,,"Medium",0.21,1,"NA","NA",2005,0.2,0.6,0.3,0.7,"NA","NA","CPUE","F","Updated - (ND 21.04.2016) REDO: Why is u > umsy when Y < MSY and B > Bmsy? Endbio set to 0.3-0.7, biomass changerd to CPUE"
"Northeast Atlantic","Celtic Seas","had-iris","Haddock in Division VIIa (Irish Sea)","Haddock ","Melanogrammus aeglefinus ",1381,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/had-iris.pdf",1995,2014,1995,2014,,,,,,,,,,,,"Medium",0.21,1,0.01,0.3,2011,0.01,0.3,0.01,0.4,2003,2007,"CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","her-67bc","Herring in Divisions VIa and VIIb,c (West of Scotland, West of Ireland)","Atlantic herring","Clupea harengus",24,"Small pelagics","http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/her-67bc.pdf",1957,2014,1957,2014,,,50000,,,0.25,,,,,,"Medium",0.159,0.995,0.2,0.6,1996,0.01,0.4,0.01,0.4,"NA","NA","CPUE","F","OK (RF 25.05.16)"
"Northeast Atlantic","Celtic Seas","her-irls","Herring in Division VIIa South of 52° 30’ N and VIIg,h,j,k","Atlantic herring","Clupea harengus",24,"Small pelagics","www.ices.dk",1958,2014,1958,2014,,,26000,44000,,0.25,,,,,,"Medium",0.159,0.995,"NA","NA",2002,0.01,0.4,0.5,0.9,"NA","NA","CPUE","F","OK (RF 17.04.16)"
"Northeast Atlantic","Celtic Seas","her-nirs","Herring in Division VIIa North of 52° 30’ N (Irish Sea)","Atlantic herring","Clupea harengus",24,"Small pelagics","www.ices.dk",1961,2014,1961,2014,,,6000,9500,,0.26,,9500,,,,"Medium",0.159,0.995,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 15.04.16)"
"Northeast Atlantic","Celtic Seas","mgw-78","Megrim in Divisions VIIb–k and VIIIa, b, d (West and Southwest of Ireland, Bay of Biscay)","Megrim","Lepidorhombus whiffiagonis",28,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/mgw-78.pdf",1984,2014,1984,2014,,,,,,,,,,,,"Medium",0.22,1.29,"NA","NA",2006,0.01,0.4,0.2,0.6,1993,2000,"CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-11","Norway lobster in Division VIa – FU 11 (West of Scotland, North Minch)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-11.pdf",1990,2014,1990,2014,,,,,,,,,,,,"Mediem ","NA","NA",0.01,0.4,2003,0.2,0.6,0.01,0.4,"NA","NA","CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-12","Norway lobster in Division VIa – FU 12 (West of Scotland, South Minch)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-12.pdf",1990,2014,1990,2014,,,,,,,,,,,,"Medium","NA","NA",0.01,0.4,2004,0.2,0.6,0.01,0.4,2000,2003,"CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-13","Norway lobster in Division VIa – FU 13 (West of Scotland, the Firth of Clyde, and the Sound of Jura)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-13.pdf",1990,2014,1990,2014,,,,,,,,,,,,"Medium","NA","NA",0.01,0.4,2004,0.2,0.6,0.2,0.6,"NA","NA","CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-14","Norway lobster in Division VIIa – FU 14 (Irish Sea, East)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-14.pdf",2000,2014,2000,2014,,,,,,,,,,,,"Medium","NA","NA",0.01,0.4,2012,0.2,0.6,0.1,0.4,2008,2011,"CPUE","F","OK (RF 17.05.16) Discards of 32 tonnes assumed in 2009 - 2012"
"Northeast Atlantic","Celtic Seas","nep-15","Norway lobster in Division  VIIa – FU 15 (Irish Sea, West)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-15.pdf",1965,2014,1965,2014,,,,,,,,,,,,"Medium","NA","NA",0.5,0.9,2000,0.2,0.6,0.2,0.6,"NA","NA","CPUE","F","OK (RF 18.05.16)"
"Northeast Atlantic","Celtic Seas","nep-16","Norway lobster in Divisions VIIb, VIIc, VIIj, and VIIk – FU 16 (West and Southwest of Ireland, Porcupine Bank)  ","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-16.pdf",1971,2014,1971,2014,,,,,,,,,,,,"Medium","NA","NA","NA","NA",2000,0.01,0.4,0.01,0.4,2012,2014,"CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-17","Norway lobster in Division VIIb – FU 17 (West of Ireland, Aran Grounds)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-17.pdf",1988,2014,1988,2014,,,,,,,,,,,,"Medium","NA","NA","NA","NA",2006,0.01,0.4,0.01,0.4,"NA","NA","CPUE","F","OK (RF 17.05,16)"
"Northeast Atlantic","Celtic Seas","nep-19","Norway lobster in Divisions  VIIa, VIIg, and VIIj – FU 19 (Irish Sea, Celtic Sea, Eastern Southwest of Ireland)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-19.pdf",1989,2014,1989,2014,,,,,,,,,,,,"Medium","NA","NA","NA","NA","NA","NA","NA",0.01,0.4,2011,2014,"CPUE","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-2021","Norway lobster in Divisions VIIg and VIIh – FUs 20 and 21 (Celtic Sea)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-2021.pdf",1995,2014,1995,2014,,,,,,,,,,,,"Medium","NA","NA","NA","NA",1999,0.01,0.4,0.01,0.4,2013,2014,"CPUE","F","OK (RF 18.05.16)"
"Northeast Atlantic","Celtic Seas","nep-22","Norway lobster in Divisions VIIg and VIIf – FU 22 (Celtic Sea, Bristol Channel)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-22.pdf",1999,2014,1999,2014,,,,,,,,,,,,"Medium","NA","NA","NA","NA",2009,0.01,0.4,0.2,0.6,"NA","NA","CPUE","F","OK (RF 18.05.16)"
"Northeast Atlantic","Celtic Seas","nep-oth-6a","Norway lobster in DivisionVIa, outside the functional units (West of Scotland)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-oth-6a.pdf",1982,2014,1990,2014,,,,,,,,,,,,"Medium","NA","NA",0.01,0.4,1998,0.01,0.4,0.01,0.4,"NA","NA","None","F","OK (RF 17.05.16)"
"Northeast Atlantic","Celtic Seas","nep-oth-7","Norway lobster in  Subarea VII – Functional Unit 18 and rectangles outside the functional units (Southern Celtic Seas, Southwest of Ireland)","Norway lobster","Nephrops norvegicus",,"Invertebrates","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/nep-oth-7.pdf",1995,2014,1995,2014,,,,,,,,,,,,"Medium","NA","NA","NA","NA","NA","NA","NA",0.01,0.4,"NA","NA","None","F","OK (RF 18.05.16)"
"Northeast Atlantic","Celtic Seas","ple-7b-c","Plaice in Divisions  VIIb,c (West of Ireland)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ple-7b-c.pdf",1908,2014,1965,2014,,,,,,,,,,,,"Medium",0.17,0.71,0.5,0.9,1972,0.2,0.6,0.01,0.4,"NA","NA","None","F","OK (RF 19.05.16)"
"Northeast Atlantic","Celtic Seas","ple-7h-k","Plaice in Divisions  VIIh–k (Celtic Sea South, Southwest of Ireland)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ple-7h-k.pdf",1993,2014,1993,2014,,,,,,,,,,,,"Medium",0.17,0.71,"NA","NA",2003,0.01,0.4,0.01,0.4,2008,2013,"CPUE","F","OK (RF 19.05.16)"
"Northeast Atlantic","Celtic Seas","ple-celt","Plaice in Divisions VIIf,g (Celtic Sea)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ple-celt.pdf",1995,2014,1995,2014,,,1100,1800,,0.19,,1800,,,,"Medium",0.17,0.71,0.01,0.4,"NA","NA","NA","NA","NA",2005,2010,"CPUE","F","OK (RF 25.05.16)"
"Northeast Atlantic","Celtic Seas","ple-echw","Plaice in Division VIIe (Western Channel)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ple-echw.pdf",1980,2014,1980,2014,,,,,,0.24,,1650,,,,"Medium",0.17,0.71,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 25.04.16)"
"Northeast Atlantic","Celtic Seas","ple-iris","Plaice in Divisionn VIIa (Irish Sea)","European plaice ","Pleuronectes platessa",1342,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ple-iris.pdf",1987,2014,1987,2014,,,,,,,,,,,,"Medium",0.17,0.71,"NA","NA",2000,0.01,0.4,0.2,0.6,2003,2009,"CPUE","F","OK (RF 19.05.16)"
"Northeast Atlantic","Celtic Seas","pol-celt","Pollack in Subareas VI-VII (Celtic Seas and the English Channel)","Pollack","Pollachius pollachius",34,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/pol-celt.pdf",1986,2014,1986,2014,,,,,,,,,,,,"Medium",0.51,1.05,0.2,0.6,2005,0.01,0.4,0.01,0.4,"NA","NA","None","F","OK (RF 20.05.16)"
"Northeast Atlantic","Celtic Seas","rng-5b67","Roundnose grenadier in in Divisions Xb and XIIc, and Subdivisions XIIa1, XIVb1, and Va1 (Oceanic Northeast Atlantic and Northern Reykjanes Ridge)","Roundnose grenadier","Coryphaenoides rupestris",332,"Deep water","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/rng-5b67.pdf",1988,2015,1988,2015,,,,,,,,,,,,"Very low",0.092,0.695,0.7,0.99,2000,0.3,0.7,0.01,0.4,"NA","NA","CPUE","F","OK (RF 08.06.16)"
"Northeast Atlantic","Celtic Seas","sbr-678","Red (= blackspot) seabream in subareas 6, 7, and 8 (Celtic Seas and the English Channel, Bay of Biscay)","Blackspot seabream","Pagellus bogaraveo",890,"Deep water","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sbr-678.pdf",1988,2015,1988,2015,,,,,,,,,,,,"Low",0.26,0.76,0.01,0.3,1996,0.01,0.2,0.01,0.2,"NA","NA","None","F","OK (RF 09.06.16)"
"Northeast Atlantic","Celtic Seas","sol-7h-k","Sole in Divisions VIIh–k (Celtic Sea South, Southwest of Ireland)","Common sole ","Solea solea",525,"Flatfish","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/sol-7h-k.pdf",1993,2014,1993,2014,,,,,,,,,,,,"Medium",0.18,1.02,"NA","NA","NA","NA","NA",0.01,0.4,"NA","NA","CPUE","F","OK (RF 20.05.16)"
"Northeast Atlantic","Celtic Seas","sol-celt","Sole in Divisions VIIf, g (Celtic Sea)","Common sole ","Solea solea",525,"Flatfish","www.ices.dk",1971,2014,1971,2014,0.52,0.37,,2200,,0.31,,2200,,,,"Medium",0.18,1.02,0.5,0.9,1995,0.01,0.4,"NA","NA","NA","NA","CPUE","F","OK (RF 17.04.16)"
"Northeast Atlantic","Celtic Seas","sol-echw","Sole in Division VIIe (Western Channel)","Common sole ","Solea solea",525,"Flatfish","www.ices.dk",1969,2014,1969,2014,,,1300,1800,,0.27,,2800,,,,"Medium",0.18,1.02,"NA","NA",1990,0.2,0.6,0.2,0.6,1998,2003,"CPUE","F","OK (RF 28.04.16)"
"Northeast Atlantic","Celtic Seas","sol-iris","Sole in Division VIIa (Irish Sea)","Common sole ","Solea solea",525,"Flatfish","www.ices.dk",1970,2014,1970,2014,0.4,0.3,2200,3100,,0.16,,3100,,,,"Medium",0.18,1.02,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 15.04.16)"
"Northeast Atlantic","Celtic Seas","spr-celt","Sprat in  in Subarea VI and Divisions VIIa–c and f–k (West of Scotland, Southern Celtic Seas)","European sprat","Sprattus sprattus",1357,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/spr-celt.pdf",1985,2014,1985,2014,,,,,,,,,,,,"Medium",0.2,1.19,"NA","NA",2006,0.01,0.4,0.01,0.4,"NA","NA","None","F","OK (RF 20.05.16)"
"Northeast Atlantic","Celtic Seas","spr-ech","Sprat in Divisions VIId,e (English Channel)","European sprat","Sprattus sprattus",1357,"Small pelagics","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/spr-ech.pdf",1985,2014,1985,2014,,,,,,,,,,,,"Medium",0.2,1.19,0.01,0.4,2003,0.01,0.4,0.5,0.9,1994,1999,"CPUE","F","OK (RF 20.05.16)"
"Northeast Atlantic","Celtic Seas","whg-7e-k","Whiting in Division VIIe-k","Whiting ","Merlangius merlangus ",29,"Large predators","www.ices.dk",1999,2014,1999,2014,,,15000,21000,,0.36,,21000,,,,"Medium",0.22,1.01,0.01,0.4,"NA","NA","NA",0.5,0.9,"NA","NA","CPUE","F","Updated - SSB (ND 21.04.2016) 2013 needed! Check whether 1905 is true. Resilience set from Very low to Low. OK (RF 15.04.16)"
"Northeast Atlantic","Celtic Seas","whg-iris","Whiting in Division VIIa (Irish Sea)","Whiting ","Merlangius merlangus ",29,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/whg-iris.pdf",1988,2014,1988,2014,,,,,,,,,,,,"Medium",0.22,1.01,"NA","NA",2005,0.01,0.3,0.01,0.4,1997,2000,"CPUE","F","OK (RF 20.05.16)"
"Northeast Atlantic","Celtic Seas","whg-scow","Whiting in Division VIa (West of Scotland)","Whiting ","Merlangius merlangus ",29,"Large predators","www.ices.dk",1981,2014,1981,2014,1,0.6,16000,22000,,,,,,,,"Medium",0.22,1.01,0.5,0.9,"NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 15.04.16)"
